Make,Model,Location,First registration,Mileage,Power,Transmission,Fuel,Drive type,Consumption,CO2 emissions,Body color,Interior color,Interior material,Body,Doors,Seats,Price
Mercedes-Benz,G 63 AMG,Germany,2019,72890,577,Automatic,Petrol,4x4,14.4,343,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,158949.0
Mercedes-Benz,SL 63 AMG,Germany,2022,9000,577,Automatic,Petrol,4x4,12.2,292,Grey,Black interior,Full leather interior,Cabriolet,2/3 doors,2,158949.0
Audi,RS6,Germany,2024,30,621,Automatic,Petrol,4x4,12.1,263,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,158999.0
BMW,M4,Germany,2019,185,425,Automatic,Petrol,4x2,10.0,227,White,Black interior,Part leather interior,Coupe,2/3 doors,5,158999.0
Audi,RS6,Netherlands,2024,20,621,Automatic,Petrol,4x4,12.1,263,4/5 doors,Brown interior,Full leather interior,Station Wagon,4/5 doors,5,158999.0
Audi,RS6,Netherlands,2024,30,621,Automatic,Petrol,4x4,12.1,263,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,158999.0
Audi,RS6,Netherlands,2024,25,621,Automatic,Petrol,4x4,12.1,263,Grey,Brown interior,Full leather interior,Station Wagon,4/5 doors,5,158999.0
Audi,RS6,Germany,2024,25,621,Automatic,Petrol,4x4,12.1,263,Grey,Brown interior,Full leather interior,Station Wagon,4/5 doors,5,158999.0
Audi,RS6,Germany,2024,28,621,Automatic,Petrol,4x4,12.1,263,Black,Brown interior,Full leather interior,Station Wagon,4/5 doors,5,158999.0
Audi,RS6,Netherlands,2024,28,621,Automatic,Petrol,4x4,12.1,263,Black,Brown interior,Full leather interior,Station Wagon,4/5 doors,5,158999.0
Audi,R8,Germany,2024,0,562,Automatic,Petrol,4x2,12.9,291,Black,Black interior,Full leather interior,Coupe,2/3 doors,2,158949.0
Audi,RS6,Germany,2024,1020,621,Automatic,Petrol,4x4,12.1,263,Grey,Brown interior,Full leather interior,Station Wagon,4/5 doors,5,157949.0
Audi,RS6,Netherlands,2024,1020,621,Automatic,Petrol,4x4,12.1,263,Grey,Brown interior,Full leather interior,Station Wagon,4/5 doors,5,157949.0
Audi,RS6,Germany,2024,1110,621,Automatic,Petrol,4x4,12.1,263,Black,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,157949.0
Audi,RS6,Netherlands,2024,1110,621,Automatic,Petrol,4x4,12.1,263,Black,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,157949.0
Toyota,Land Cruiser,Germany,2023,8699,295,Automatic,Diesel,4x4,7.7,187,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,157949.0
Mercedes-Benz,SL 63 AMG,Germany,2023,7850,577,Automatic,Petrol,4x4,12.2,292,Grey,Other interior color,Full leather interior,Cabriolet,2/3 doors,4,157949.0
Audi,RS6,Germany,2024,0,621,Automatic,Petrol,4x4,12.1,263,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,157899.0
Porsche,Cayenne,Germany,2024,9900,493,Automatic,Petrol,4x4,12.0,287,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,157899.0
Audi,RS6,Germany,2024,0,621,Automatic,Petrol,4x4,12.1,263,4/5 doors,Black interior,Full leather interior,Station Wagon,4/5 doors,5,157899.0
Mercedes-Benz,S 580,Germany,2024,5556,496,Automatic,Petrol,4x4,7.7,187,Black,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,157899.0
Audi,RS6,Germany,2024,10,621,Automatic,Petrol,4x4,12.1,263,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,157899.0
Porsche,992,Germany,2021,20000,444,Automatic,Petrol,4x4,9.9,225,Black,Beige interior,Full leather interior,Cabriolet,2/3 doors,4,157899.0
Audi,RS7,Germany,2024,16500,591,Automatic,Petrol,4x4,12.0,263,Grey,Brown interior,Full leather interior,Sedans / saloons,4/5 doors,5,157899.0
Audi,R8,Germany,2021,31200,612,Automatic,Petrol,4x4,13.3,304,Grey,Black interior,Full leather interior,Cabriolet,2/3 doors,2,157899.0
Audi,RS6,Germany,2024,1,591,Automatic,Petrol,4x4,12.1,263,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,157899.0
Audi,RS6,Germany,2024,0,591,Automatic,Petrol,4x4,12.1,263,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,157899.0
Audi,RS6,Germany,2024,8000,591,Automatic,Petrol,4x4,12.1,263,White,Black interior,Part leather interior,Station Wagon,4/5 doors,5,157899.0
Audi,RS6,Germany,2024,10,621,Automatic,Petrol,4x4,12.1,263,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,157849.0
Mercedes-Benz,G 63 AMG,Germany,2018,41000,577,Automatic,Petrol,4x4,14.4,343,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,157849.0
Audi,R8,France,2022,19824,562,Automatic,Petrol,4x2,12.9,293,Grey,Black interior,Full leather interior,Coupe,2/3 doors,2,157849.0
BMW,X6 M,Netherlands,2024,8809,524,Automatic,Petrol,4x4,7.7,187,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,156299.0
Porsche,992,Germany,2024,12900,389,Automatic,Petrol,4x2,9.4,215,Grey,Black interior,Full leather interior,Coupe,2/3 doors,4,156299.0
Audi,SQ8,Germany,2024,50,500,Automatic,Petrol,4x4,12.0,275,Silver,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,156299.0
Mercedes-Benz,E 63 AMG,Netherlands,2022,30794,603,Automatic,Petrol,4x4,11.4,273,White,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,156299.0
Porsche,Cayman,Netherlands,2023,9893,394,Automatic,Petrol,4x2,9.6,230,Yellow,Black interior,Full leather interior,Coupe,2/3 doors,2,156299.0
BMW,M3,Netherlands,2024,3950,503,Automatic,Petrol,4x4,10.0,248,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,156299.0
BMW,M4,Netherlands,2017,501,493,Automatic,Petrol,4x2,8.4,197,Grey,Brown interior,Full leather interior,Coupe,2/3 doors,4,156299.0
Audi,RS6,Belgium,2023,14000,591,Automatic,Petrol,4x4,12.1,263,Green,Other interior color,Full leather interior,Station Wagon,4/5 doors,5,156299.0
Mercedes-Benz,G 63 AMG,Italy,2020,39000,577,Automatic,Petrol,4x4,13.1,373,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,156299.0
Porsche,992,France,2020,39990,444,Automatic,Petrol,4x4,9.9,227,Blue,Grey interior,Full leather interior,Coupe,2/3 doors,4,156299.0
Mercedes-Benz,G 63 AMG,Germany,2021,55000,577,Automatic,Petrol,4x4,15.6,373,Black,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,156299.0
Porsche,Cayman,France,2021,15390,420,Automatic,Petrol,4x2,10.1,242,4/5 doors,Other interior color,Other interior material,Coupe,2/3 doors,2,156299.0
Mercedes-Benz,G 500,Germany,2023,16885,416,Automatic,Petrol,4x4,14.2,340,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,156299.0
Porsche,992,Spain,2020,33789,444,Automatic,Petrol,4x4,9.9,227,Black,Other interior color,Other interior material,Coupe,2/3 doors,4,156299.0
Mercedes-Benz,SL 63 AMG,Germany,2024,4379,577,Automatic,Petrol,4x4,12.9,298,Silver,Black interior,Full leather interior,Cabriolet,2/3 doors,4,155199.0
BMW,M3,Belgium,2024,5700,543,Automatic,Petrol,4x2,10.8,248,Black,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,156299.0
Porsche,991,Germany,2013,43220,424,Manual,Petrol,4x2,9.4,224,Grey,Black interior,Full leather interior,Coupe,2/3 doors,4,156299.0
Porsche,Cayman,Germany,2023,12718,493,Automatic,Petrol,4x2,12.5,299,Green,Black interior,Alcantara interior,Coupe,2/3 doors,2,156299.0
Audi,RS6,Netherlands,2021,45000,591,Automatic,Petrol,4x4,12.1,263,Green,Black interior,Full leather interior,Station Wagon,4/5 doors,5,156299.0
Porsche,991,Germany,2016,4800,424,Automatic,Petrol,4x4,9.3,216,Grey,Black interior,Full leather interior,Cabriolet,2/3 doors,4,156099.0
Maserati,Levante,Austria,2021,44000,573,Automatic,Petrol,4x4,13.2,317,Black,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,156099.0
Mercedes-Benz,G 500,Netherlands,2018,57555,416,Automatic,Petrol,4x4,12.3,289,4/5 doors,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,156099.0
Land Rover,Range Rover Sport,Germany,2024,4900,394,Automatic,Petrol,4x4,10.0,229,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,156099.0
BMW,X6 M,Austria,2024,15441,523,Automatic,Petrol,4x4,7.7,187,Green,Black interior,Full leather interior,SUV / offroad,4/5 doors,4,156099.0
Porsche,992,Germany,2024,7,389,Automatic,Petrol,4x2,9.4,215,White,Black interior,Full leather interior,Coupe,2/3 doors,4,155999.0
Land Rover,Range Rover,Italy,2024,300,245,Automatic,Diesel,4x4,7.3,215,Green,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,155999.0
Porsche,992,Italy,2024,132,389,Automatic,Petrol,4x2,9.4,215,Grey,Black interior,Other interior material,Coupe,2/3 doors,4,155999.0
BMW,M3,Germany,2024,0,543,Automatic,Petrol,4x4,10.0,248,White,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,155999.0
Porsche,Cayenne,Poland,2024,12,349,Automatic,Petrol,4x4,10.3,247,Red,4/5 doors,Full leather interior,SUV / offroad,4/5 doors,5,155999.0
Porsche,992,Poland,2023,13745,380,Automatic,Petrol,4x2,9.4,215,Blue,4/5 doors,4/5 doors,Coupe,2/3 doors,4,155949.0
BMW,X5 M,Poland,2024,10,617,Automatic,Petrol,4x4,12.9,291,4/5 doors,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,155949.0
BMW,X5 M,Poland,2024,10,617,Automatic,Petrol,4x4,7.7,187,Grey,4/5 doors,Full leather interior,SUV / offroad,4/5 doors,5,155949.0
Land Rover,Range Rover Sport,Germany,2024,13,394,Automatic,Petrol,4x4,10.0,229,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,155949.0
Audi,SQ8,Poland,2024,5,500,Automatic,Petrol,4x4,12.0,275,Red,4/5 doors,Full leather interior,SUV / offroad,4/5 doors,5,155899.0
Mercedes-Benz,GLS 63,Netherlands,2021,67845,603,Automatic,Petrol,4x4,7.7,187,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,155849.0
Mercedes-Benz,S 580,Germany,2022,29999,496,Automatic,Petrol,4x4,7.7,187,Black,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,155799.0
Volkswagen,T6 California,Germany,2024,10,177,Automatic,Diesel,4x4,6.8,180,Black,Brown interior,Full leather interior,Cargo VAN,4/5 doors,4,155799.0
Mercedes-Benz,G 400,Germany,2023,56000,326,Automatic,Diesel,4x4,11.2,297,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,155799.0
Audi,RSQ8,Germany,2024,50,591,Automatic,Petrol,4x4,12.1,277,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,155799.0
Mercedes-Benz,GLE 450,Netherlands,2024,8457,363,Automatic,Diesel,4x4,7.7,187,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,154299.0
Aston Martin,Vantage,Spain,2021,11900,503,Automatic,Petrol,4x2,10.5,264,Blue,Other interior color,Other interior material,Coupe,2/3 doors,2,154299.0
Porsche,992,Spain,2021,25900,444,Automatic,Petrol,4x2,9.6,220,Black,Other interior color,Other interior material,Coupe,2/3 doors,4,154249.0
Ford,F-150,Germany,2024,10,451,Automatic,Petrol,4x4,16.4,293,Black,Black interior,Full leather interior,Pick-up,4/5 doors,5,154249.0
Porsche,Panamera,Germany,2024,0,349,Automatic,Petrol,4x2,10.7,207,Grey,Brown interior,Full leather interior,Sedans / saloons,4/5 doors,5,154249.0
Mercedes-Benz,GLE 63 AMG,France,2023,15500,613,Automatic,Other fuel type,4x4,7.7,281,4/5 doors,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,154199.0
Mercedes-Benz,GLE 63 AMG,France,2023,14500,613,Automatic,Other fuel type,4x4,7.7,277,4/5 doors,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,154199.0
Mercedes-Benz,G 63 AMG,Germany,2019,61000,577,Automatic,Petrol,4x4,14.4,343,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,154199.0
BMW,X7,Netherlands,2024,8999,375,Automatic,Petrol,4x4,7.7,187,Blue,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,154249.0
Porsche,992,France,2021,22900,451,Automatic,Petrol,4x2,10.1,221,4/5 doors,Other interior color,Full leather interior,Coupe,2/3 doors,4,154199.0
Porsche,992,Italy,2021,40000,444,Automatic,Petrol,4x4,9.9,227,Grey,Black interior,Full leather interior,Coupe,2/3 doors,4,154199.0
Aston Martin,Vantage,Spain,2022,1700,503,Automatic,Petrol,4x2,10.5,264,Black,Other interior color,Other interior material,Coupe,2/3 doors,2,154199.0
Land Rover,Range Rover Sport,France,2023,8500,503,Automatic,Hybrid,4x4,7.7,19,Blue,4/5 doors,4/5 doors,SUV / offroad,4/5 doors,5,154199.0
Audi,RS7,Germany,2024,0,621,Automatic,Petrol,4x4,12.0,263,Black,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,154199.0
Porsche,992,Germany,2022,21800,473,Automatic,Petrol,4x2,10.1,221,White,Black interior,Alcantara interior,Coupe,2/3 doors,4,154199.0
Porsche,992,France,2019,40000,444,Automatic,Petrol,4x4,8.7,207,Black,Black interior,Alcantara interior,Cabriolet,2/3 doors,4,154199.0
