Make,Model,Location,First registration,Mileage,Power,Transmission,Fuel,Drive type,Consumption,CO2 emissions,Body color,Interior color,Interior material,Body,Doors,Seats,Price
Lamborghini,Huracan,France,3/2018,39 400 km,630 hp,Automatic,Petrol,4x2,13.1 l/100km,314 g/km,Green,Black interior,Alcantara interior,Coupe,2/3 doors,2.0,270599.0
Porsche,992,France,5/2022,11 497 km,503 hp,Automatic,Petrol,4x2,12.6 l/100km,283 g/km,,,,Coupe,2/3 doors,2.0,270599.0
Lamborghini,Urus,Spain,10/2020,44 000 km,641 hp,Automatic,Petrol,4x4,12.7 l/100km,325 g/km,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,270599.0
Porsche,992,Spain,2/2023,6 200 km,503 hp,Automatic,Petrol,4x2,12.6 l/100km,283 g/km,Blue,Other interior color,Other interior material,Coupe,2/3 doors,4.0,270599.0
Porsche,992,Spain,7/2021,15 546 km,503 hp,Automatic,Petrol,4x2,12.6 l/100km,283 g/km,Green,Other interior color,Other interior material,Coupe,2/3 doors,4.0,270599.0
Porsche,992,Spain,6/2021,606 km,503 hp,Automatic,Petrol,4x2,12.6 l/100km,283 g/km,Black,Other interior color,Other interior material,Coupe,2/3 doors,4.0,270599.0
Ferrari,Portofino,Spain,4/2022,3 985 km,612 hp,Automatic,Petrol,4x2,11.7 l/100km,235 g/km,White,Other interior color,Other interior material,Cabriolet,2/3 doors,4.0,270599.0
Porsche,992,Spain,7/2020,19 573 km,641 hp,Automatic,Petrol,4x4,11.7 l/100km,257 g/km,Grey,Other interior color,Other interior material,Cabriolet,2/3 doors,2.0,270599.0
Porsche,991,France,10/2021,10 500 km,641 hp,Automatic,Petrol,4x4,11.5 l/100km,254 g/km,Blue,Black interior,,Coupe,2/3 doors,4.0,270599.0
Ferrari,458,Belgium,8/2014,55 888 km,563 hp,Automatic,Petrol,4x2,11.8 l/100km,275 g/km,Blue,Other interior color,Full leather interior,Cabriolet,2/3 doors,2.0,270599.0
BMW,X5 M,Germany,8/2024,0 km,617 hp,Automatic,Petrol,4x4,13.1 l/100km,291 g/km,Green,Brown interior,Other interior material,SUV / offroad,4/5 doors,5.0,270549.0
Bentley,Continental GTC,Netherlands,2/2022,29 175 km,542 hp,Automatic,Petrol,4x4,,,Black,Black interior,Full leather interior,Cabriolet,2/3 doors,4.0,270449.0
Porsche,992,Spain,3/2024,50 km,573 hp,Automatic,Petrol,4x4,11.5 l/100km,254 g/km,Black,Other interior color,Other interior material,Coupe,2/3 doors,4.0,270449.0
McLaren,720S,Germany,6/2019,16 300 km,711 hp,Automatic,Petrol,4x2,,,White,Black interior,Alcantara interior,Cabriolet,2/3 doors,2.0,270399.0
Bentley,Continental GTC,Netherlands,1/2022,19 000 km,543 hp,Automatic,Petrol,4x4,,,Black,Other interior color,Full leather interior,Cabriolet,2/3 doors,4.0,270249.0
Land Rover,Range Rover Sport,Spain,7/2024,100 km,626 hp,Automatic,Petrol,4x4,11.8 l/100km,282 g/km,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,267499.0
