Make,Model,Location,First registration,Mileage,Power,Transmission,Fuel,Drive type,Consumption,CO2 emissions,Body color,Interior color,Interior material,Body,Doors,Seats,Price
Volkswagen,Passat,Germany,2024,26934,148,Automatic,Diesel,4x2,5.0,113,Silver,Black interior,Cloth interior,Station Wagon,4/5 doors,5,34149
Land Rover,Range Rover Sport,Germany,2020,71900,518,Automatic,Petrol,4x4,10.0,304,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,81199
Dacia,Jogger,Germany,2023,45456,109,Manual,Petrol,4x2,6.0,128,Grey,Black interior,Cloth interior,MPV,4/5 doors,7,19999
Seat,Alhambra,Austria,2020,76600,148,Automatic,Diesel,4x2,5.2,137,Brown,Other interior color,Cloth interior,MPV,4/5 doors,5,32699
Ford,Transit Connect,Germany,2019,50550,99,Manual,Diesel,4x2,5.4,124,Blue,Black interior,Cloth interior,Cargo VAN,4/5 doors,5,18049
Audi,RS3,Italy,2022,7900,394,Automatic,Petrol,4x4,8.2,188,Black,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,62199
Peugeot,308,Germany,2024,100,129,Automatic,Petrol,4x2,5.9,132,Silver,Black interior,Part leather interior,Hatchback,4/5 doors,5,31549
Citroën,C3,Netherlands,2022,40288,82,Manual,Petrol,4x2,5.5,100,Grey,Grey interior,Cloth interior,Hatchback,4/5 doors,5,16499
BMW,530,Germany,2023,57195,282,Automatic,Diesel,4x4,8.0,195,Blue,Brown interior,Full leather interior,Station Wagon,4/5 doors,5,50899
Citroën,C4,Italy,2024,10,99,Manual,Petrol,4x2,5.0,114,Black,Other interior color,Cloth interior,Hatchback,4/5 doors,5,19249
Mitsubishi,L200,Germany,2020,90250,148,Automatic,Diesel,4x4,9.7,206,White,Black interior,Full leather interior,Pick-up,4/5 doors,5,31449
Škoda,Kamiq,Netherlands,2021,136332,148,Automatic,Petrol,4x2,5.1,116,Blue,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,22699
Škoda,Scala,Germany,2024,10,114,Automatic,Petrol,4x2,5.1,116,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,26049
Ford,Puma,Italy,2021,69000,94,Manual,Petrol,4x2,4.4,102,Red,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,15899
Mercedes-Benz,Vito,Germany,2021,175000,134,Automatic,Diesel,4x2,6.5,195,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,2,20349
Fiat,Panda,Italy,2022,29982,68,Manual,Petrol,4x2,3.9,89,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5,22049
